Designator,Val,Package,Mid X,Mid Y,Rotayion,Layer
"D1","D_Small","D3_SMD_v2",86.518750,-38.100000,225.000000,bottom
"D2","D_Small","D3_SMD_v2",84.931250,-36.512500,225.000000,bottom
"D3","D_Small","D3_SMD_v2",103.981250,-36.512500,225.000000,bottom
"D4","D_Small","D3_SMD_v2",123.031250,-36.512500,225.000000,bottom
"D5","D_Small","D3_SMD_v2",142.081250,-36.512500,225.000000,bottom
"D6","D_Small","D3_SMD_v2",161.131250,-36.512500,225.000000,bottom
"D7","D_Small","D3_SMD_v2",162.718750,-38.100000,225.000000,bottom
"D8","D_Small","D3_SMD_v2",70.643750,-55.562500,225.000000,bottom
"D9","D_Small","D3_SMD_v2",89.693750,-55.562500,225.000000,bottom
"D10","D_Small","D3_SMD_v2",108.743750,-55.562500,225.000000,bottom
"D11","D_Small","D3_SMD_v2",127.793750,-55.562500,225.000000,bottom
"D12","D_Small","D3_SMD_v2",146.843750,-55.562500,225.000000,bottom
"D13","D_Small","D3_SMD_v2",161.131250,-49.212500,225.000000,bottom
"D14","D_Small","D3_SMD_v2",177.800000,-50.800000,-0.000000,bottom
"D15","D_Small","D3_SMD_v2",80.168750,-74.612500,225.000000,bottom
"D16","D_Small","D3_SMD_v2",99.218750,-74.612500,225.000000,bottom
"D17","D_Small","D3_SMD_v2",118.268750,-74.612500,225.000000,bottom
"D18","D_Small","D3_SMD_v2",137.318750,-74.612500,225.000000,bottom
"D19","D_Small","D3_SMD_v2",156.368750,-74.612500,225.000000,bottom
"D20","D_Small","D3_SMD_v2",157.956250,-76.200000,225.000000,bottom
"D21","D_Small","D3_SMD_v2",99.218750,-93.662500,225.000000,bottom
"D22","D_Small","D3_SMD_v2",100.806250,-95.250000,225.000000,bottom
